,sim_scenario,n_plus,n_minus,n_target,pi_target,gamma_selection_name,estimator,type,kernel,x,x_name,p,distributions,method_name,MSE,count_sim,facet_blocks
180,sim_par_1,150,150,400,0.25,grid,ipr,U,laplacian,400,"n_target, n_source=300",5,Gaussian,ipr_U_grid_laplacian,0.0015522721256003558,100,"sim_par_1, pi_target = 0.25"
181,sim_par_1,150,150,400,0.25,grid,ipr,U,rbf,400,"n_target, n_source=300",5,Gaussian,ipr_U_grid_rbf,0.0014366815192567968,100,"sim_par_1, pi_target = 0.25"
182,sim_par_1,150,150,400,0.25,grid,ipr,V,laplacian,400,"n_target, n_source=300",5,Gaussian,ipr_V_grid_laplacian,0.0018166621132146086,100,"sim_par_1, pi_target = 0.25"
183,sim_par_1,150,150,400,0.25,grid,ipr,V,rbf,400,"n_target, n_source=300",5,Gaussian,ipr_V_grid_rbf,0.0013635238923082492,100,"sim_par_1, pi_target = 0.25"
184,sim_par_1,150,150,400,0.25,numerical,ipr,U,laplacian,400,"n_target, n_source=300",5,Gaussian,ipr_U_numerical_laplacian,0.0015458886761038097,100,"sim_par_1, pi_target = 0.25"
185,sim_par_1,150,150,400,0.25,numerical,ipr,U,rbf,400,"n_target, n_source=300",5,Gaussian,ipr_U_numerical_rbf,0.0014132276302840053,100,"sim_par_1, pi_target = 0.25"
186,sim_par_1,150,150,400,0.25,numerical,ipr,V,laplacian,400,"n_target, n_source=300",5,Gaussian,ipr_V_numerical_laplacian,0.001890009400540702,100,"sim_par_1, pi_target = 0.25"
187,sim_par_1,150,150,400,0.25,numerical,ipr,V,rbf,400,"n_target, n_source=300",5,Gaussian,ipr_V_numerical_rbf,0.0013490946577394422,100,"sim_par_1, pi_target = 0.25"
188,sim_par_1,150,150,400,0.25,one_over_p,ipr,U,laplacian,400,"n_target, n_source=300",5,Gaussian,ipr_U_one_over_p_laplacian,0.0015581301888698568,100,"sim_par_1, pi_target = 0.25"
189,sim_par_1,150,150,400,0.25,one_over_p,ipr,U,rbf,400,"n_target, n_source=300",5,Gaussian,ipr_U_one_over_p_rbf,0.001648702792475491,100,"sim_par_1, pi_target = 0.25"
190,sim_par_1,150,150,400,0.25,one_over_p,ipr,V,laplacian,400,"n_target, n_source=300",5,Gaussian,ipr_V_one_over_p_laplacian,0.0014524739837997033,100,"sim_par_1, pi_target = 0.25"
191,sim_par_1,150,150,400,0.25,one_over_p,ipr,V,rbf,400,"n_target, n_source=300",5,Gaussian,ipr_V_one_over_p_rbf,0.0015647466217689602,100,"sim_par_1, pi_target = 0.25"
192,sim_par_1,150,150,400,0.25,one_over_p,nrm,U,laplacian,400,"n_target, n_source=300",5,Gaussian,nrm_U_one_over_p_laplacian,0.0018850889050276254,100,"sim_par_1, pi_target = 0.25"
193,sim_par_1,150,150,400,0.25,one_over_p,nrm,U,rbf,400,"n_target, n_source=300",5,Gaussian,nrm_U_one_over_p_rbf,0.0020984675578734242,100,"sim_par_1, pi_target = 0.25"
194,sim_par_1,150,150,400,0.25,one_over_p,nrm,V,laplacian,400,"n_target, n_source=300",5,Gaussian,nrm_V_one_over_p_laplacian,0.004478506050575759,100,"sim_par_1, pi_target = 0.25"
195,sim_par_1,150,150,400,0.25,one_over_p,nrm,V,rbf,400,"n_target, n_source=300",5,Gaussian,nrm_V_one_over_p_rbf,0.0041466158784196055,100,"sim_par_1, pi_target = 0.25"
224,sim_par_1,150,150,500,0.25,bootstrap_mse,ipr,U,laplacian,500,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_mse_laplacian,0.0013788305168389305,100,"sim_par_1, pi_target = 0.25"
225,sim_par_1,150,150,500,0.25,bootstrap_mse,ipr,U,rbf,500,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_mse_rbf,0.0012552480211300854,100,"sim_par_1, pi_target = 0.25"
226,sim_par_1,150,150,500,0.25,bootstrap_mse,ipr,V,laplacian,500,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_mse_laplacian,0.0014445416437799544,100,"sim_par_1, pi_target = 0.25"
227,sim_par_1,150,150,500,0.25,bootstrap_mse,ipr,V,rbf,500,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_mse_rbf,0.0012838709320662064,100,"sim_par_1, pi_target = 0.25"
228,sim_par_1,150,150,500,0.25,bootstrap_var,ipr,U,laplacian,500,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_var_laplacian,0.001438277793481078,100,"sim_par_1, pi_target = 0.25"
229,sim_par_1,150,150,500,0.25,bootstrap_var,ipr,U,rbf,500,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_var_rbf,0.0013273480943423502,100,"sim_par_1, pi_target = 0.25"
230,sim_par_1,150,150,500,0.25,bootstrap_var,ipr,V,laplacian,500,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_var_laplacian,0.0016650854712311953,100,"sim_par_1, pi_target = 0.25"
231,sim_par_1,150,150,500,0.25,bootstrap_var,ipr,V,rbf,500,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_var_rbf,0.001520181474294324,100,"sim_par_1, pi_target = 0.25"
232,sim_par_1,150,150,500,0.25,distance,ipr,U,laplacian,500,"n_target, n_source=300",5,Gaussian,ipr_U_distance_laplacian,0.0014035319250642472,100,"sim_par_1, pi_target = 0.25"
233,sim_par_1,150,150,500,0.25,distance,ipr,U,rbf,500,"n_target, n_source=300",5,Gaussian,ipr_U_distance_rbf,0.0014833339167510692,100,"sim_par_1, pi_target = 0.25"
234,sim_par_1,150,150,500,0.25,distance,ipr,V,laplacian,500,"n_target, n_source=300",5,Gaussian,ipr_V_distance_laplacian,0.0012997859305653896,100,"sim_par_1, pi_target = 0.25"
235,sim_par_1,150,150,500,0.25,distance,ipr,V,rbf,500,"n_target, n_source=300",5,Gaussian,ipr_V_distance_rbf,0.001228894145297428,100,"sim_par_1, pi_target = 0.25"
236,sim_par_1,150,150,500,0.25,grid,ipr,U,laplacian,500,"n_target, n_source=300",5,Gaussian,ipr_U_grid_laplacian,0.0013803165366941149,100,"sim_par_1, pi_target = 0.25"
237,sim_par_1,150,150,500,0.25,grid,ipr,U,rbf,500,"n_target, n_source=300",5,Gaussian,ipr_U_grid_rbf,0.0012468841175916404,100,"sim_par_1, pi_target = 0.25"
238,sim_par_1,150,150,500,0.25,grid,ipr,V,laplacian,500,"n_target, n_source=300",5,Gaussian,ipr_V_grid_laplacian,0.0016966725719683518,100,"sim_par_1, pi_target = 0.25"
239,sim_par_1,150,150,500,0.25,grid,ipr,V,rbf,500,"n_target, n_source=300",5,Gaussian,ipr_V_grid_rbf,0.0012433168865091729,100,"sim_par_1, pi_target = 0.25"
240,sim_par_1,150,150,500,0.25,numerical,ipr,U,laplacian,500,"n_target, n_source=300",5,Gaussian,ipr_U_numerical_laplacian,0.0013868151557821062,100,"sim_par_1, pi_target = 0.25"
241,sim_par_1,150,150,500,0.25,numerical,ipr,U,rbf,500,"n_target, n_source=300",5,Gaussian,ipr_U_numerical_rbf,0.0012563617049120427,100,"sim_par_1, pi_target = 0.25"
242,sim_par_1,150,150,500,0.25,numerical,ipr,V,laplacian,500,"n_target, n_source=300",5,Gaussian,ipr_V_numerical_laplacian,0.0017756682879813256,100,"sim_par_1, pi_target = 0.25"
243,sim_par_1,150,150,500,0.25,numerical,ipr,V,rbf,500,"n_target, n_source=300",5,Gaussian,ipr_V_numerical_rbf,0.0012180652089448045,100,"sim_par_1, pi_target = 0.25"
