,sim_scenario,n_plus,n_minus,n_target,pi_target,gamma_selection_name,estimator,type,kernel,x,x_name,p,distributions,method_name,MSE,facet_blocks
103,sim_par_4,100,100,200,0.25,grid,ipr,U,rbf,200,n_target=n_source,10,Gaussian,ipr_U_grid_rbf,0.002619488277692476,"p = 10, sim_par_4, pi_target = 0.25"
106,sim_par_4,100,100,200,0.25,grid,ipr,V,rbf,200,n_target=n_source,10,Gaussian,ipr_V_grid_rbf,0.0025321698622577907,"p = 10, sim_par_4, pi_target = 0.25"
109,sim_par_4,100,100,200,0.25,numerical,ipr,U,rbf,200,n_target=n_source,10,Gaussian,ipr_U_numerical_rbf,0.002600567762397377,"p = 10, sim_par_4, pi_target = 0.25"
112,sim_par_4,100,100,200,0.25,numerical,ipr,V,rbf,200,n_target=n_source,10,Gaussian,ipr_V_numerical_rbf,0.003758674237003828,"p = 10, sim_par_4, pi_target = 0.25"
115,sim_par_4,100,100,200,0.25,one_over_p,ipr,U,rbf,200,n_target=n_source,10,Gaussian,ipr_U_one_over_p_rbf,0.0028393360197390203,"p = 10, sim_par_4, pi_target = 0.25"
118,sim_par_4,100,100,200,0.25,one_over_p,ipr,V,rbf,200,n_target=n_source,10,Gaussian,ipr_V_one_over_p_rbf,0.0025372293398223385,"p = 10, sim_par_4, pi_target = 0.25"
121,sim_par_4,100,100,200,0.25,one_over_p,nrm,U,rbf,200,n_target=n_source,10,Gaussian,nrm_U_one_over_p_rbf,0.0040545469950206536,"p = 10, sim_par_4, pi_target = 0.25"
124,sim_par_4,100,100,200,0.25,one_over_p,nrm,V,rbf,200,n_target=n_source,10,Gaussian,nrm_V_one_over_p_rbf,0.009325798836410349,"p = 10, sim_par_4, pi_target = 0.25"
169,sim_par_4,150,150,300,0.25,bootstrap_mse,ipr,U,rbf,300,n_target=n_source,10,Gaussian,ipr_U_bootstrap_mse_rbf,0.0012298320135651732,"p = 10, sim_par_4, pi_target = 0.25"
172,sim_par_4,150,150,300,0.25,bootstrap_mse,ipr,V,rbf,300,n_target=n_source,10,Gaussian,ipr_V_bootstrap_mse_rbf,0.0013681578445757943,"p = 10, sim_par_4, pi_target = 0.25"
175,sim_par_4,150,150,300,0.25,bootstrap_var,ipr,U,rbf,300,n_target=n_source,10,Gaussian,ipr_U_bootstrap_var_rbf,0.0013233910345406914,"p = 10, sim_par_4, pi_target = 0.25"
178,sim_par_4,150,150,300,0.25,bootstrap_var,ipr,V,rbf,300,n_target=n_source,10,Gaussian,ipr_V_bootstrap_var_rbf,0.0013855049640460345,"p = 10, sim_par_4, pi_target = 0.25"
181,sim_par_4,150,150,300,0.25,distance,ipr,U,rbf,300,n_target=n_source,10,Gaussian,ipr_U_distance_rbf,0.001240902593594599,"p = 10, sim_par_4, pi_target = 0.25"
184,sim_par_4,150,150,300,0.25,distance,ipr,V,rbf,300,n_target=n_source,10,Gaussian,ipr_V_distance_rbf,0.0012906231078677487,"p = 10, sim_par_4, pi_target = 0.25"
187,sim_par_4,150,150,300,0.25,grid,ipr,U,rbf,300,n_target=n_source,10,Gaussian,ipr_U_grid_rbf,0.0012381100951769552,"p = 10, sim_par_4, pi_target = 0.25"
190,sim_par_4,150,150,300,0.25,grid,ipr,V,rbf,300,n_target=n_source,10,Gaussian,ipr_V_grid_rbf,0.0013394738353984048,"p = 10, sim_par_4, pi_target = 0.25"
193,sim_par_4,150,150,300,0.25,numerical,ipr,U,rbf,300,n_target=n_source,10,Gaussian,ipr_U_numerical_rbf,0.0012368847724978792,"p = 10, sim_par_4, pi_target = 0.25"
196,sim_par_4,150,150,300,0.25,numerical,ipr,V,rbf,300,n_target=n_source,10,Gaussian,ipr_V_numerical_rbf,0.0015730307548832549,"p = 10, sim_par_4, pi_target = 0.25"
199,sim_par_4,150,150,300,0.25,one_over_p,ipr,U,rbf,300,n_target=n_source,10,Gaussian,ipr_U_one_over_p_rbf,0.0013360569189897061,"p = 10, sim_par_4, pi_target = 0.25"
202,sim_par_4,150,150,300,0.25,one_over_p,ipr,V,rbf,300,n_target=n_source,10,Gaussian,ipr_V_one_over_p_rbf,0.0014471424934474335,"p = 10, sim_par_4, pi_target = 0.25"
205,sim_par_4,150,150,300,0.25,one_over_p,nrm,U,rbf,300,n_target=n_source,10,Gaussian,nrm_U_one_over_p_rbf,0.0015982771639488809,"p = 10, sim_par_4, pi_target = 0.25"
208,sim_par_4,150,150,300,0.25,one_over_p,nrm,V,rbf,300,n_target=n_source,10,Gaussian,nrm_V_one_over_p_rbf,0.005555603137392119,"p = 10, sim_par_4, pi_target = 0.25"
253,sim_par_4,200,200,400,0.25,bootstrap_mse,ipr,U,rbf,400,n_target=n_source,10,Gaussian,ipr_U_bootstrap_mse_rbf,0.0009364816315914538,"p = 10, sim_par_4, pi_target = 0.25"
256,sim_par_4,200,200,400,0.25,bootstrap_mse,ipr,V,rbf,400,n_target=n_source,10,Gaussian,ipr_V_bootstrap_mse_rbf,0.0009229520984277781,"p = 10, sim_par_4, pi_target = 0.25"
259,sim_par_4,200,200,400,0.25,bootstrap_var,ipr,U,rbf,400,n_target=n_source,10,Gaussian,ipr_U_bootstrap_var_rbf,0.0008996154953741205,"p = 10, sim_par_4, pi_target = 0.25"
262,sim_par_4,200,200,400,0.25,bootstrap_var,ipr,V,rbf,400,n_target=n_source,10,Gaussian,ipr_V_bootstrap_var_rbf,0.0008882719511064386,"p = 10, sim_par_4, pi_target = 0.25"
265,sim_par_4,200,200,400,0.25,distance,ipr,U,rbf,400,n_target=n_source,10,Gaussian,ipr_U_distance_rbf,0.0009269614269158649,"p = 10, sim_par_4, pi_target = 0.25"
268,sim_par_4,200,200,400,0.25,distance,ipr,V,rbf,400,n_target=n_source,10,Gaussian,ipr_V_distance_rbf,0.0009443821507570587,"p = 10, sim_par_4, pi_target = 0.25"
271,sim_par_4,200,200,400,0.25,grid,ipr,U,rbf,400,n_target=n_source,10,Gaussian,ipr_U_grid_rbf,0.0008918718138461793,"p = 10, sim_par_4, pi_target = 0.25"
274,sim_par_4,200,200,400,0.25,grid,ipr,V,rbf,400,n_target=n_source,10,Gaussian,ipr_V_grid_rbf,0.0008955159483065027,"p = 10, sim_par_4, pi_target = 0.25"
277,sim_par_4,200,200,400,0.25,numerical,ipr,U,rbf,400,n_target=n_source,10,Gaussian,ipr_U_numerical_rbf,0.0008892385362136351,"p = 10, sim_par_4, pi_target = 0.25"
280,sim_par_4,200,200,400,0.25,numerical,ipr,V,rbf,400,n_target=n_source,10,Gaussian,ipr_V_numerical_rbf,0.0009080513188905732,"p = 10, sim_par_4, pi_target = 0.25"
283,sim_par_4,200,200,400,0.25,one_over_p,ipr,U,rbf,400,n_target=n_source,10,Gaussian,ipr_U_one_over_p_rbf,0.0009353831853100532,"p = 10, sim_par_4, pi_target = 0.25"
286,sim_par_4,200,200,400,0.25,one_over_p,ipr,V,rbf,400,n_target=n_source,10,Gaussian,ipr_V_one_over_p_rbf,0.0009654341592895536,"p = 10, sim_par_4, pi_target = 0.25"
289,sim_par_4,200,200,400,0.25,one_over_p,nrm,U,rbf,400,n_target=n_source,10,Gaussian,nrm_U_one_over_p_rbf,0.0011838933196242766,"p = 10, sim_par_4, pi_target = 0.25"
292,sim_par_4,200,200,400,0.25,one_over_p,nrm,V,rbf,400,n_target=n_source,10,Gaussian,nrm_V_one_over_p_rbf,0.003387101609780258,"p = 10, sim_par_4, pi_target = 0.25"
337,sim_par_4,250,250,500,0.25,bootstrap_mse,ipr,U,rbf,500,n_target=n_source,10,Gaussian,ipr_U_bootstrap_mse_rbf,0.0007091445873291651,"p = 10, sim_par_4, pi_target = 0.25"
340,sim_par_4,250,250,500,0.25,bootstrap_mse,ipr,V,rbf,500,n_target=n_source,10,Gaussian,ipr_V_bootstrap_mse_rbf,0.000695425046561196,"p = 10, sim_par_4, pi_target = 0.25"
343,sim_par_4,250,250,500,0.25,bootstrap_var,ipr,U,rbf,500,n_target=n_source,10,Gaussian,ipr_U_bootstrap_var_rbf,0.0007282520126994459,"p = 10, sim_par_4, pi_target = 0.25"
346,sim_par_4,250,250,500,0.25,bootstrap_var,ipr,V,rbf,500,n_target=n_source,10,Gaussian,ipr_V_bootstrap_var_rbf,0.0007164572267692091,"p = 10, sim_par_4, pi_target = 0.25"
349,sim_par_4,250,250,500,0.25,distance,ipr,U,rbf,500,n_target=n_source,10,Gaussian,ipr_U_distance_rbf,0.0007554879740071261,"p = 10, sim_par_4, pi_target = 0.25"
352,sim_par_4,250,250,500,0.25,distance,ipr,V,rbf,500,n_target=n_source,10,Gaussian,ipr_V_distance_rbf,0.0007594424553608234,"p = 10, sim_par_4, pi_target = 0.25"
355,sim_par_4,250,250,500,0.25,grid,ipr,U,rbf,500,n_target=n_source,10,Gaussian,ipr_U_grid_rbf,0.0007057218554535966,"p = 10, sim_par_4, pi_target = 0.25"
