beta,n_plus,n_minus,n_target,pi_target,p,seed,pi_nmr_u,pi_ipr_u,pi_nmr_v,pi_ipr_v,var_plug-in,var_explicit,var_plug-in_target,var_plug-in_plus,var_plug-in_minus,r_n,lambda_target,lambda_plus,lambda_minus,var_explicit_target,var_explicit_plus,var_explicit_minus
0.5,500,500,500,0.1,5,50,0.10038055207554393,0.1180725051271237,0.160583902443221,0.12432147385729242,0.4074829044162377,0.39038834956019475,0.0013102882345569296,2.7156186076108835e-05,0.0008816560560019616,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012788622775209424,-3.4444113002907173e-06,0.0008505878218532104
0.5,500,500,500,0.1,5,51,0.09799462690235139,0.03715512655859993,0.16477122464314248,0.04524940950063372,0.5201464060327414,0.49958177558014105,0.0014036555918543526,3.279065209223352e-05,0.0010892321309712795,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0013700614857693472,-1.9404776119280598e-07,0.0010559551235850284
0.5,500,500,500,0.1,5,52,0.08822232644304003,0.13203698224743043,0.1596513699482665,0.1385598091318973,0.49056893160823606,0.4705925903917273,0.0014384403615755553,2.7680884172942824e-05,0.0008792572322908834,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0014060683885199765,-3.5894597846253262e-06,0.0008473939480716508
0.5,500,500,500,0.1,5,53,0.13438619337178226,0.11911483320306476,0.18496981778825033,0.12538999539274304,0.4393073974416059,0.4211593827522879,0.0012501020801395175,3.357596685017947e-05,0.0009759669669796781,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012184909972541291,3.547142033100137e-06,0.0009442597761698535
0.5,500,500,500,0.1,5,54,0.09377331973556981,0.1164899474747545,0.1567654623925479,0.12251307728088462,0.43913334685548994,0.4222699454351501,0.0014547154600762725,2.9476934261459232e-05,0.0010250538784509033,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0014223403320684502,-2.049418826755023e-06,0.0009925964119436026
0.5,500,500,500,0.1,5,55,0.14788530725023,0.07650377884992338,0.19823659542973202,0.084181102750988,0.5267930828885143,0.505529564222649,0.001169896753927618,4.343947946777245e-05,0.0010823986908379247,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0011387311089142704,1.3122418163868943e-05,0.0010512161667279862
0.5,500,500,500,0.1,5,56,0.0,0.06998881173518512,0.12928935059375546,0.07941207566756142,0.6703341999127445,0.6409759325505006,0.001238606270781767,1.5862980714548947e-05,0.0009696328457560895,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012063086231151043,-1.7023378595326655e-05,0.00093740904626749
0.5,500,500,500,0.1,5,57,0.0416642008232646,0.09681224559743701,0.14538039279011417,0.10443856563184234,0.5446459992272606,0.5194746365311065,0.0011932309076896977,2.1959258523699248e-05,0.0009241170752244601,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0011599830730977256,-9.942581046251675e-06,0.0008903965133630898
0.5,500,500,500,0.1,5,58,0.09061253325925268,0.11020252990814733,0.1538701799966873,0.11619127521163342,0.43801009649234146,0.42143219078311234,0.0014642090092036328,3.0007769859719552e-05,0.0010345102521451082,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001431654640969171,-4.674315943198337e-07,0.0010018319862757918
0.5,500,500,500,0.1,5,59,0.1201185323139433,0.1538002562062611,0.1825930646203974,0.16052660508824873,0.5373056065057591,0.5142440326804578,0.0013035085674095819,3.276174948677726e-05,0.0008271460691128452,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012720703106585685,2.957577030171521e-06,0.0007955329872356698
0.5,500,500,500,0.1,5,60,0.17496959165294457,0.17204407336241556,0.21605748799098104,0.1771864497660947,0.4616855070603329,0.44332256339986725,0.0015429741584372628,5.992724644091836e-05,0.0008887083960004565,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001509726294086855,2.737616952086519e-05,0.0008554067813779653
0.5,500,500,500,0.1,5,61,0.0723783584007549,0.076703604076168,0.14901973324179543,0.0840247851386905,0.514919424659074,0.4956475945230421,0.0015698777345671791,2.4054047380561585e-05,0.0010336149759059006,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0015366491799143622,-7.75419417275991e-06,0.0010003108815438422
